JUDUL,KATEGORI,tokens,stopwords,stemmed
fraksi golkar ajukan paw ketua dprd bengkulu sampaikan sanggahan,Politik,"['fraksi', 'golkar', 'ajukan', 'paw', 'ketua', 'dprd', 'bengkulu', 'sampaikan', 'sanggahan']","['fraksi', 'golkar', 'ajukan', 'paw', 'ketua', 'dprd', 'bengkulu', 'sanggahan']",fraksi golkar aju paw ketua dprd bengkulu sanggah
kantor dpd golkar maluku diserang saat pengurus rapat pintujendela rusak,Politik,"['kantor', 'dpd', 'golkar', 'maluku', 'diserang', 'saat', 'pengurus', 'rapat', 'pintujendela', 'rusak']","['kantor', 'dpd', 'golkar', 'maluku', 'diserang', 'pengurus', 'rapat', 'pintujendela', 'rusak']",kantor dpd golkar malu serang urus rapat pintujendela rusak
ppp konflik di ancol padam di kuningan,Politik,"['ppp', 'konflik', 'di', 'ancol', 'padam', 'di', 'kuningan']","['ppp', 'konflik', 'ancol', 'padam', 'kuningan']",ppp konflik ancol padam kuningan
adu jotos muktamar partai kabah,Politik,"['adu', 'jotos', 'muktamar', 'partai', 'kabah']","['adu', 'jotos', 'muktamar', 'partai', 'kabah']",adu jotos muktamar partai kabah
melihat ketahanan otoritarianisme demokratis,Politik,"['melihat', 'ketahanan', 'otoritarianisme', 'demokratis']","['ketahanan', 'otoritarianisme', 'demokratis']",tahan otoritarianisme demokratis
ekonomi politik seafood,Politik,"['ekonomi', 'politik', 'seafood']","['ekonomi', 'politik', 'seafood']",ekonomi politik seafood
jokowi kumpul dengan elite psi di bali beri instruksi ini,Politik,"['jokowi', 'kumpul', 'dengan', 'elite', 'psi', 'di', 'bali', 'beri', 'instruksi', 'ini']","['jokowi', 'kumpul', 'elite', 'psi', 'bali', 'instruksi']",jokowi kumpul elite psi bal instruksi
rasionalitas pemilih indonesia,Politik,"['rasionalitas', 'pemilih', 'indonesia']","['rasionalitas', 'pemilih', 'indonesia']",rasionalitas pilih indonesia
cerita marshel kapok terjun politik tanpa izin istri,Politik,"['cerita', 'marshel', 'kapok', 'terjun', 'politik', 'tanpa', 'izin', 'istri']","['cerita', 'marshel', 'kapok', 'terjun', 'politik', 'izin', 'istri']",cerita marshel kapok terjun politik izin istri
marshel widianto kapok gak izin cesen terjun ke politik,Politik,"['marshel', 'widianto', 'kapok', 'gak', 'izin', 'cesen', 'terjun', 'ke', 'politik']","['marshel', 'widianto', 'kapok', 'gak', 'izin', 'cesen', 'terjun', 'politik']",marshel widianto kapok gak izin cesen terjun politik
 nama caketum ppp mencuat mardiono agus suparmanto husnan bey fananie,Politik,"['nama', 'caketum', 'ppp', 'mencuat', 'mardiono', 'agus', 'suparmanto', 'husnan', 'bey', 'fananie']","['nama', 'caketum', 'ppp', 'mencuat', 'mardiono', 'agus', 'suparmanto', 'husnan', 'bey', 'fananie']",nama caketum ppp cuat mardiono agus suparmanto husnan bey fananie
reformasi dan kosmetik politik,Politik,"['reformasi', 'dan', 'kosmetik', 'politik']","['reformasi', 'kosmetik', 'politik']",reformasi kosmetik politik
budaya reshuffle ala prabowo,Politik,"['budaya', 'reshuffle', 'ala', 'prabowo']","['budaya', 'reshuffle', 'ala', 'prabowo']",budaya reshuffle ala prabowo
mendepak banteng dari kabinet,Politik,"['mendepak', 'banteng', 'dari', 'kabinet']","['mendepak', 'banteng', 'kabinet']",depak banteng kabinet
akhir kisah cerita seorang pendengung,Politik,"['akhir', 'kisah', 'cerita', 'seorang', 'pendengung']","['kisah', 'cerita', 'pendengung']",kisah cerita dengung
menetralisir geng solo,Politik,"['menetralisir', 'geng', 'solo']","['menetralisir', 'geng', 'solo']",menetralisir geng solo
kisah di balik reshuffle,Politik,"['kisah', 'di', 'balik', 'reshuffle']","['kisah', 'reshuffle']",kisah reshuffle
venna melinda ungkap penyebab verrel kurus kepikiran situasi politik,Politik,"['venna', 'melinda', 'ungkap', 'penyebab', 'verrel', 'kurus', 'kepikiran', 'situasi', 'politik']","['venna', 'melinda', 'penyebab', 'verrel', 'kurus', 'kepikiran', 'situasi', 'politik']",venna melinda sebab verrel kurus pikir situasi politik
verrell bramasta lebih kurus venna melinda syok hadapi dinamika politik,Politik,"['verrell', 'bramasta', 'lebih', 'kurus', 'venna', 'melinda', 'syok', 'hadapi', 'dinamika', 'politik']","['verrell', 'bramasta', 'kurus', 'venna', 'melinda', 'syok', 'hadapi', 'dinamika', 'politik']",verrell bramasta kurus venna melinda syok hadap dinamika politik
sby kuasa dan pergulatan nilai,Politik,"['sby', 'kuasa', 'dan', 'pergulatan', 'nilai']","['sby', 'kuasa', 'pergulatan', 'nilai']",sby kuasa gulat nilai
kata prabowo soal siapa menko polkam dan menpora,Politik,"['kata', 'prabowo', 'soal', 'siapa', 'menko', 'polkam', 'dan', 'menpora']","['prabowo', 'menko', 'polkam', 'menpora']",prabowo menko polkam menpora
influencer as charlie kirk tewas ditembak polisi buru pelaku,Politik,"['influencer', 'as', 'charlie', 'kirk', 'tewas', 'ditembak', 'polisi', 'buru', 'pelaku']","['influencer', 'as', 'charlie', 'kirk', 'tewas', 'ditembak', 'polisi', 'buru', 'pelaku']",influencer as charlie kirk tewas tembak polisi buru laku
dari jakarta ke kathmandu bajak laut one piece berkibar,Politik,"['dari', 'jakarta', 'ke', 'kathmandu', 'bajak', 'laut', 'one', 'piece', 'berkibar']","['jakarta', 'kathmandu', 'bajak', 'laut', 'one', 'piece', 'berkibar']",jakarta kathmandu bajak laut one piece kibar
video ma thailand vonis thaksin harus kembali dipenjara  tahun,Politik,"['video', 'ma', 'thailand', 'vonis', 'thaksin', 'harus', 'kembali', 'dipenjara', 'tahun']","['video', 'ma', 'thailand', 'vonis', 'thaksin', 'dipenjara']",video ma thailand vonis thaksin penjara
siapa menjarah rumah anggota dewan,Politik,"['siapa', 'menjarah', 'rumah', 'anggota', 'dewan']","['menjarah', 'rumah', 'anggota', 'dewan']",jarah rumah anggota dewan
melihat lebih dalam revolusi kelas menengah,Politik,"['melihat', 'lebih', 'dalam', 'revolusi', 'kelas', 'menengah']","['revolusi', 'kelas', 'menengah']",revolusi kelas tengah
melipat jarak politik,Politik,"['melipat', 'jarak', 'politik']","['melipat', 'jarak', 'politik']",lipat jarak politik
alasan anisa bahar nyaleg berujung gagal terpilih,Politik,"['alasan', 'anisa', 'bahar', 'nyaleg', 'berujung', 'gagal', 'terpilih']","['alasan', 'anisa', 'bahar', 'nyaleg', 'berujung', 'gagal', 'terpilih']",alas anisa bahar nyaleg ujung gagal pilih
apa itu anarko ini bedanya dengan anarki anarkis dan anarkisme,Politik,"['apa', 'itu', 'anarko', 'ini', 'bedanya', 'dengan', 'anarki', 'anarkis', 'dan', 'anarkisme']","['anarko', 'bedanya', 'anarki', 'anarkis', 'anarkisme']",anarko beda anarki anarkis anarkisme
misi meredam gejolak demonstrasi,Politik,"['misi', 'meredam', 'gejolak', 'demonstrasi']","['misi', 'meredam', 'gejolak', 'demonstrasi']",misi redam gejolak demonstrasi
kronik kerusuhan empat hari di jakarta,Politik,"['kronik', 'kerusuhan', 'empat', 'hari', 'di', 'jakarta']","['kronik', 'kerusuhan', 'jakarta']",kronik rusuh jakarta
gerindra panggil anggota dprd sumut dugem saat banyak demo besok,Politik,"['gerindra', 'panggil', 'anggota', 'dprd', 'sumut', 'dugem', 'saat', 'banyak', 'demo', 'besok']","['gerindra', 'panggil', 'anggota', 'dprd', 'sumut', 'dugem', 'demo', 'besok']",gerindra panggil anggota dprd sumut dugem demo besok
joko anwar soroti akar masalah di balik gelombang demo ini akumulasi,Politik,"['joko', 'anwar', 'soroti', 'akar', 'masalah', 'di', 'balik', 'gelombang', 'demo', 'ini', 'akumulasi']","['joko', 'anwar', 'soroti', 'akar', 'gelombang', 'demo', 'akumulasi']",joko anwar sorot akar gelombang demo akumulasi
agenda kunker komisi  dprd medan ditelusuri jaksa yang usut kasus pemerasan,Politik,"['agenda', 'kunker', 'komisi', 'dprd', 'medan', 'ditelusuri', 'jaksa', 'yang', 'usut', 'kasus', 'pemerasan']","['agenda', 'kunker', 'komisi', 'dprd', 'medan', 'ditelusuri', 'jaksa', 'usut', 'pemerasan']",agenda kunker komisi dprd medan telusur jaksa usut peras
jaksa cecar belasan pertanyaan ke ketua komisi  dprd medan di kasus pemerasan,Politik,"['jaksa', 'cecar', 'belasan', 'pertanyaan', 'ke', 'ketua', 'komisi', 'dprd', 'medan', 'di', 'kasus', 'pemerasan']","['jaksa', 'cecar', 'belasan', 'ketua', 'komisi', 'dprd', 'medan', 'pemerasan']",jaksa cecar bas ketua komisi dprd medan peras
lingkaran setan biaya politik,Politik,"['lingkaran', 'setan', 'biaya', 'politik']","['lingkaran', 'setan', 'biaya', 'politik']",lingkar setan biaya politik
ugm coret acara roy suryo cs isi buku jokowis white paper akhirnya dispill,Politik,"['ugm', 'coret', 'acara', 'roy', 'suryo', 'cs', 'isi', 'buku', 'jokowis', 'white', 'paper', 'akhirnya', 'dispill']","['ugm', 'coret', 'acara', 'roy', 'suryo', 'cs', 'isi', 'buku', 'jokowis', 'white', 'paper', 'dispill']",ugm coret acara roy suryo cs isi buku jokowis white paper dispill
hasto kembali jadi sekjen puan harap pdip makin solid,Politik,"['hasto', 'kembali', 'jadi', 'sekjen', 'puan', 'harap', 'pdip', 'makin', 'solid']","['hasto', 'sekjen', 'puan', 'harap', 'pdip', 'solid']",hasto sekjen puan harap pdip solid
mencerna makna gibran dan dasco berfoto di meja makan,Politik,"['mencerna', 'makna', 'gibran', 'dan', 'dasco', 'berfoto', 'di', 'meja', 'makan']","['mencerna', 'makna', 'gibran', 'dasco', 'berfoto', 'meja', 'makan']",cerna makna gibran dasco foto meja makan
gelar rakernas nasdem targetkan masuk  besar di pemilu ,Politik,"['gelar', 'rakernas', 'nasdem', 'targetkan', 'masuk', 'besar', 'di', 'pemilu']","['gelar', 'rakernas', 'nasdem', 'targetkan', 'masuk', 'pemilu']",gelar rakernas nasdem target masuk milu
membaca arah dukungan projo,Politik,"['membaca', 'arah', 'dukungan', 'projo']","['membaca', 'arah', 'dukungan', 'projo']",baca arah dukung projo
ragam komentar legislator usai pemilu dipisah digugat lagi ke mk,Politik,"['ragam', 'komentar', 'legislator', 'usai', 'pemilu', 'dipisah', 'digugat', 'lagi', 'ke', 'mk']","['ragam', 'komentar', 'legislator', 'pemilu', 'dipisah', 'digugat', 'mk']",ragam komentar legislator milu pisah gugat mk
setelah hukuman hasto disetip,Politik,"['setelah', 'hukuman', 'hasto', 'disetip']","['hukuman', 'hasto', 'disetip']",hukum hasto setip
pdip jadi penyeimbang pkb megawati punya hak menentukan posisi,Politik,"['pdip', 'jadi', 'penyeimbang', 'pkb', 'megawati', 'punya', 'hak', 'menentukan', 'posisi']","['pdip', 'penyeimbang', 'pkb', 'megawati', 'hak', 'menentukan', 'posisi']",pdip imbang pkb megawati hak tentu posisi
mensesneg soal isu munaslub golkar jangan dikaitkan dengan istana,Politik,"['mensesneg', 'soal', 'isu', 'munaslub', 'golkar', 'jangan', 'dikaitkan', 'dengan', 'istana']","['mensesneg', 'isu', 'munaslub', 'golkar', 'dikaitkan', 'istana']",mensesneg isu munaslub golkar kait istana
terungkap pesan prabowo ke megapuan lewat dasco,Politik,"['terungkap', 'pesan', 'prabowo', 'ke', 'megapuan', 'lewat', 'dasco']","['terungkap', 'pesan', 'prabowo', 'megapuan', 'dasco']",ungkap pesan prabowo megapuan dasco
pks hargai posisi politik pdip perlu ada penyeimbang pemerintah,Politik,"['pks', 'hargai', 'posisi', 'politik', 'pdip', 'perlu', 'ada', 'penyeimbang', 'pemerintah']","['pks', 'hargai', 'posisi', 'politik', 'pdip', 'penyeimbang', 'pemerintah']",pks harga posisi politik pdip imbang perintah
menimbang makna pdip sebagai penyeimbang,Politik,"['menimbang', 'makna', 'pdip', 'sebagai', 'penyeimbang']","['menimbang', 'makna', 'pdip', 'penyeimbang']",timbang makna pdip imbang
dasco sampaikan pesan prabowo saat bertemu megawatipuan ini isinya,Politik,"['dasco', 'sampaikan', 'pesan', 'prabowo', 'saat', 'bertemu', 'megawatipuan', 'ini', 'isinya']","['dasco', 'pesan', 'prabowo', 'bertemu', 'megawatipuan', 'isinya']",dasco pesan prabowo temu megawatipuan isi
trump pecat pejabat yang infokan data buruk soal lapangan kerja,Politik,"['trump', 'pecat', 'pejabat', 'yang', 'infokan', 'data', 'buruk', 'soal', 'lapangan', 'kerja']","['trump', 'pecat', 'pejabat', 'infokan', 'data', 'buruk', 'lapangan', 'kerja']",trump pecat jabat info data buruk lapang kerja
kepala daerah dipilih dprd efektif atau kemunduran demokrasi,Politik,"['kepala', 'daerah', 'dipilih', 'dprd', 'efektif', 'atau', 'kemunduran', 'demokrasi']","['kepala', 'daerah', 'dipilih', 'dprd', 'efektif', 'kemunduran', 'demokrasi']",kepala daerah pilih dprd efektif mundur demokrasi
sby negara kuat bisa jatuh karena pemimpin letakkan diri di atas hukum,Politik,"['sby', 'negara', 'kuat', 'bisa', 'jatuh', 'karena', 'pemimpin', 'letakkan', 'diri', 'di', 'atas', 'hukum']","['sby', 'negara', 'kuat', 'jatuh', 'pemimpin', 'letakkan', 'hukum']",sby negara kuat jatuh pimpin letak hukum
ibas tegaskan demokrat tak berkaitan dengan polemik ijazah palsu jokowi,Politik,"['ibas', 'tegaskan', 'demokrat', 'tak', 'berkaitan', 'dengan', 'polemik', 'ijazah', 'palsu', 'jokowi']","['ibas', 'tegaskan', 'demokrat', 'berkaitan', 'polemik', 'ijazah', 'palsu', 'jokowi']",ibas tegas demokrat kait polemik ijazah palsu jokowi
cak imin usul gubernur dipilih pusat bahlil golkar bicara itu duluan,Politik,"['cak', 'imin', 'usul', 'gubernur', 'dipilih', 'pusat', 'bahlil', 'golkar', 'bicara', 'itu', 'duluan']","['cak', 'imin', 'usul', 'gubernur', 'dipilih', 'pusat', 'bahlil', 'golkar', 'bicara', 'duluan']",cak imin usul gubernur pilih pusat bahlil golkar bicara duluan
pan tak ada jaminan ubah sistem pilkada akan kurangi money politics,Politik,"['pan', 'tak', 'ada', 'jaminan', 'ubah', 'sistem', 'pilkada', 'akan', 'kurangi', 'money', 'politics']","['pan', 'jaminan', 'ubah', 'sistem', 'pilkada', 'kurangi', 'money', 'politics']",pan jamin ubah sistem pilkada kurang money politics
kata pdip soal jadwal kongres usai hasto divonis  tahun penjara,Politik,"['kata', 'pdip', 'soal', 'jadwal', 'kongres', 'usai', 'hasto', 'divonis', 'tahun', 'penjara']","['pdip', 'jadwal', 'kongres', 'hasto', 'divonis', 'penjara']",pdip jadwal kongres hasto vonis penjara
tren politik kakakadik antarpartai,Politik,"['tren', 'politik', 'kakakadik', 'antarpartai']","['tren', 'politik', 'kakakadik', 'antarpartai']",tren politik kakakadik antarpartai
jalan panjang psi menuju perubahan,Politik,"['jalan', 'panjang', 'psi', 'menuju', 'perubahan']","['jalan', 'psi', 'perubahan']",jalan psi ubah
kata prabowo soal pdipgerindra bersaudara,Politik,"['kata', 'prabowo', 'soal', 'pdipgerindra', 'bersaudara']","['prabowo', 'pdipgerindra', 'bersaudara']",prabowo pdipgerindra saudara
pakar ugm sorot rangkap jabatan wakil menteri merusak demokrasi,Politik,"['pakar', 'ugm', 'sorot', 'rangkap', 'jabatan', 'wakil', 'menteri', 'merusak', 'demokrasi']","['pakar', 'ugm', 'sorot', 'rangkap', 'jabatan', 'wakil', 'menteri', 'merusak', 'demokrasi']",pakar ugm sorot rangkap jabat wakil menteri rusak demokrasi
direktur ppi pidato politik jokowi tanda sudah resmi log in psi,Politik,"['direktur', 'ppi', 'pidato', 'politik', 'jokowi', 'tanda', 'sudah', 'resmi', 'log', 'in', 'psi']","['direktur', 'ppi', 'pidato', 'politik', 'jokowi', 'tanda', 'resmi', 'log', 'in', 'psi']",direktur ppi pidato politik jokowi tanda resmi log in psi
kabar jokowi sehat walafiat usai liburan diungkap ajudan,Politik,"['kabar', 'jokowi', 'sehat', 'walafiat', 'usai', 'liburan', 'diungkap', 'ajudan']","['kabar', 'jokowi', 'sehat', 'walafiat', 'liburan', 'diungkap', 'ajudan']",kabar jokowi sehat walafiat libur ungkap ajudan
ketum sebut ormas gerakan rakyat belum mendesak dijadikan parpol,Politik,"['ketum', 'sebut', 'ormas', 'gerakan', 'rakyat', 'belum', 'mendesak', 'dijadikan', 'parpol']","['ketum', 'ormas', 'gerakan', 'rakyat', 'mendesak', 'dijadikan', 'parpol']",tum ormas gera rakyat desak jadi parpol
superman terlalu kiri jadi dosa di mata kanan,Politik,"['superman', 'terlalu', 'kiri', 'jadi', 'dosa', 'di', 'mata', 'kanan']","['superman', 'kiri', 'dosa', 'mata', 'kanan']",superman kiri dosa mata kanan
cemas pemilu  tak serentak,Politik,"['cemas', 'pemilu', 'tak', 'serentak']","['cemas', 'pemilu', 'serentak']",cemas milu serentak
ahy pak sby pilih jalan seni karena politik kadang gagal menjangkau,Politik,"['ahy', 'pak', 'sby', 'pilih', 'jalan', 'seni', 'karena', 'politik', 'kadang', 'gagal', 'menjangkau']","['ahy', 'sby', 'pilih', 'jalan', 'seni', 'politik', 'kadang', 'gagal', 'menjangkau']",ahy sby pilih jalan seni politik kadang gagal jangkau
dubes iran untuk indonesia kami pernah berperang delapan tahun,Politik,"['dubes', 'iran', 'untuk', 'indonesia', 'kami', 'pernah', 'berperang', 'delapan', 'tahun']","['dubes', 'iran', 'indonesia', 'berperang', 'delapan']",dubes iran indonesia perang delapan
operasi mossad di jantung pertahanan iran,Politik,"['operasi', 'mossad', 'di', 'jantung', 'pertahanan', 'iran']","['operasi', 'mossad', 'jantung', 'pertahanan', 'iran']",operasi mossad jantung tahan iran
penjelasan teuku rassya makin aktif bisnis dan belajar politik,Politik,"['penjelasan', 'teuku', 'rassya', 'makin', 'aktif', 'bisnis', 'dan', 'belajar', 'politik']","['penjelasan', 'teuku', 'rassya', 'aktif', 'bisnis', 'belajar', 'politik']",jelas teuku rassya aktif bisnis ajar politik
banjir penolakan penulisan sejarah resmi,Politik,"['banjir', 'penolakan', 'penulisan', 'sejarah', 'resmi']","['banjir', 'penolakan', 'penulisan', 'sejarah', 'resmi']",banjir tolak tulis sejarah resmi
gaduh partai ummat diprotes  dpw jatim tetap setia ke amien rais,Politik,"['gaduh', 'partai', 'ummat', 'diprotes', 'dpw', 'jatim', 'tetap', 'setia', 'ke', 'amien', 'rais']","['gaduh', 'partai', 'ummat', 'diprotes', 'dpw', 'jatim', 'setia', 'amien', 'rais']",gaduh partai ummat protes dpw jatim setia amien rais
asalusul penulisan ulang sejarah indonesia,Politik,"['asalusul', 'penulisan', 'ulang', 'sejarah', 'indonesia']","['asalusul', 'penulisan', 'ulang', 'sejarah', 'indonesia']",asalusul tulis ulang sejarah indonesia
kemendagri evaluasi menyeluruh soal polemik sengketa  pulau acehsumut,Politik,"['kemendagri', 'evaluasi', 'menyeluruh', 'soal', 'polemik', 'sengketa', 'pulau', 'acehsumut']","['kemendagri', 'evaluasi', 'polemik', 'sengketa', 'pulau', 'acehsumut']",kemendagri evaluasi polemik sengketa pulau acehsumut
dede yusuf minta polemik  pulau acehsumut tak dibawa ke ranah politik,Politik,"['dede', 'yusuf', 'minta', 'polemik', 'pulau', 'acehsumut', 'tak', 'dibawa', 'ke', 'ranah', 'politik']","['dede', 'yusuf', 'polemik', 'pulau', 'acehsumut', 'dibawa', 'ranah', 'politik']",dede yusuf polemik pulau acehsumut bawa ranah politik
anies minta anak muda tak jauhi politik singgung polemik tambang di raja ampat,Politik,"['anies', 'minta', 'anak', 'muda', 'tak', 'jauhi', 'politik', 'singgung', 'polemik', 'tambang', 'di', 'raja', 'ampat']","['anies', 'anak', 'muda', 'jauhi', 'politik', 'singgung', 'polemik', 'tambang', 'raja', 'ampat']",anies anak muda jauh politik singgung polemik tambang raja ampat
perang dengan trump elon musk harusnya belajar dari jack ma,Politik,"['perang', 'dengan', 'trump', 'elon', 'musk', 'harusnya', 'belajar', 'dari', 'jack', 'ma']","['perang', 'trump', 'elon', 'musk', 'belajar', 'jack', 'ma']",perang trump elon musk ajar jack ma
ppp hormati jokowi pilih psi kami tak pernah melamarnya jadi caketum,Politik,"['ppp', 'hormati', 'jokowi', 'pilih', 'psi', 'kami', 'tak', 'pernah', 'melamarnya', 'jadi', 'caketum']","['ppp', 'hormati', 'jokowi', 'pilih', 'psi', 'melamarnya', 'caketum']",ppp hormat jokowi pilih psi lamar caketum
megawati singgung ada perbedaan dengan fadli zon,Politik,"['megawati', 'singgung', 'ada', 'perbedaan', 'dengan', 'fadli', 'zon']","['megawati', 'singgung', 'perbedaan', 'fadli', 'zon']",megawati singgung beda fadli zon
politik pilgub bali diduga bikin seniman petruk diblokir tampil di pkb,Politik,"['politik', 'pilgub', 'bali', 'diduga', 'bikin', 'seniman', 'petruk', 'diblokir', 'tampil', 'di', 'pkb']","['politik', 'pilgub', 'bali', 'diduga', 'bikin', 'seniman', 'petruk', 'diblokir', 'tampil', 'pkb']",politik pilgub bal duga bikin seniman truk blokir tampil pkb
video dasco soal peluang pdip gabung kabinet belum ada pembahasan,Politik,"['video', 'dasco', 'soal', 'peluang', 'pdip', 'gabung', 'kabinet', 'belum', 'ada', 'pembahasan']","['video', 'dasco', 'peluang', 'pdip', 'gabung', 'kabinet', 'pembahasan']",video dasco peluang pdip gabung kabinet bahas
berebut takhta ppp,Politik,"['berebut', 'takhta', 'ppp']","['berebut', 'takhta', 'ppp']",rebut takhta ppp
adian respons survei popularitas ipo pesan ibu megawati bergema,Politik,"['adian', 'respons', 'survei', 'popularitas', 'ipo', 'pesan', 'ibu', 'megawati', 'bergema']","['adian', 'respons', 'survei', 'popularitas', 'ipo', 'pesan', 'megawati', 'bergema']",adi respons survei popularitas ipo pesan megawati gema
